 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bhussain, IP = 10.2.10.22, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rjayaraman, IP = 10.2.10.74, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = npearce, IP = 10.2.10.70, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = nsharpe, IP = 10.2.10.163, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pbunch, IP = 10.3.10.227, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bhussain, IP = 10.2.10.22, Session disconnected. Session type = IKE, Duration = 9h:42m:40s, Bytes xmt: 17645259, Bytes rcv: 947807, Reason: Connection Lost
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gzuyeva, IP = 10.3.10.67, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rjayaraman, IP = 10.2.10.74, Session disconnected. Session type = SSL, Duration = 8h:25m:49s, Bytes xmt: 1734763, Bytes rcv: 51366, Reason: Connection Lost
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = npearce, IP = 10.2.10.70, Session disconnected. Session type = IPsec, Duration = 9h:19m:21s, Bytes xmt: 12852663, Bytes rcv: 1251471, Reason: Connection Lost
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = nsharpe, IP = 10.2.10.163, Session disconnected. Session type = TPsecOverNatT, Duration = 8h:17m:10s, Bytes xmt: 10013831, Bytes rcv: 797742, Reason: Connection Lost
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pbunch, IP = 10.3.10.227, Session disconnected. Session type = IKE, Duration = 8h:6m:24s, Bytes xmt: 6750988, Bytes rcv: 622173, Reason: Connection Lost
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gzuyeva, IP = 10.3.10.67, Session disconnected. Session type = IPsec, Duration = 8h:4m:59s, Bytes xmt: 11677962, Bytes rcv: 1041825, Reason: Connection Lost
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lteng, IP = 10.1.10.15, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gvoronoff, IP = 10.1.10.163, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lsagers, IP = 10.3.10.21, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = blu, IP = 10.1.10.100, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = ptoscani, IP = 10.1.10.38, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pcallahan, IP = 10.1.10.98, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lteng, IP = 10.1.10.15, Session disconnected. Session type = SSL, Duration = 9h:59m:29s, Bytes xmt: 19700377, Bytes rcv: 3020853, Reason: Connection Lost
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gvoronoff, IP = 10.1.10.163, Session disconnected. Session type = IPsec, Duration = 9h:20m:53s, Bytes xmt: 17833782, Bytes rcv: 2389070, Reason: Connection Lost
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = lsagers, IP = 10.3.10.21, Session disconnected. Session type = SSL, Duration = 9h:43m:4s, Bytes xmt: 9810692, Bytes rcv: 1543870, Reason: Connection Lost
 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = blu, IP = 10.1.10.100, Session disconnected. Session type = IKE, Duration = 8h:39m:31s, Bytes xmt: 13831466, Bytes rcv: 2623662, Reason: Connection Lost
