Oct 21 2019 6:12:57 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bhussain, IP = 10.2.10.22, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 21 2019 9:30:1 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rjayaraman, IP = 10.2.10.74, Session connected. Session type = SSL, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 21 2019 9:34:45 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = npearce, IP = 10.2.10.70, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 21 2019 11:39:28 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = nsharpe, IP = 10.2.10.163, Session connected. Session type = TPsecOverNatT, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 21 2019 13:21:37 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pbunch, IP = 10.3.10.227, Session connected. Session type = IKE, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 21 2019 15:54:43 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = bhussain, IP = 10.2.10.22, Session disconnected. Session type = IKE, Duration = 9h:42m:40s, Bytes xmt: 17645259, Bytes rcv: 947807, Reason: Connection Lost
Oct 21 2019 14:19:21 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gzuyeva, IP = 10.3.10.67, Session connected. Session type = IPsec, Duration = 0h:0m:0s, Bytes xmt: 0, Bytes rcv: 0, Reason: User Requested
Oct 21 2019 17:55:52 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = rjayaraman, IP = 10.2.10.74, Session disconnected. Session type = SSL, Duration = 8h:25m:49s, Bytes xmt: 1734763, Bytes rcv: 51366, Reason: Connection Lost
Oct 21 2019 18:53:24 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = npearce, IP = 10.2.10.70, Session disconnected. Session type = IPsec, Duration = 9h:19m:21s, Bytes xmt: 12852663, Bytes rcv: 1251471, Reason: Connection Lost
Oct 21 2019 19:56:13 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = nsharpe, IP = 10.2.10.163, Session disconnected. Session type = TPsecOverNatT, Duration = 8h:17m:10s, Bytes xmt: 10013831, Bytes rcv: 797742, Reason: Connection Lost
Oct 21 2019 21:27:27 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = pbunch, IP = 10.3.10.227, Session disconnected. Session type = IKE, Duration = 8h:6m:24s, Bytes xmt: 6750988, Bytes rcv: 622173, Reason: Connection Lost
Oct 21 2019 22:24:02 awesome-vpn.buttercupgames.com %ASA-4-113019: Group = buttercupgames Username = gzuyeva, IP = 10.3.10.67, Session disconnected. Session type = IPsec, Duration = 8h:4m:59s, Bytes xmt: 11677962, Bytes rcv: 1041825, Reason: Connection Lost
